Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AKAM,ALL,ALTR,ALXN,AMAT,AMD,AMGN,AMP,AMT,AMZN,AN,ANF,ANN,AON,APA,APC,APD,APH,APOL,ARG,ARNA,ARO,ATI,ATVI,AVB,AVP,AVY,AXP,AZO,BA,BAC,BAX,BBBY
2000-12-12,54.8398467091,24.1740879682,1.01124145653,,9.20891471839,34.0439091182,30.4562880703,42.3818631227,,35.2294388211,45.4018453609,8.95429673948,45.0529531585,7.13719413123,,20.0229635395,6.06004224131,22.3788741389,45.901301171,7.91352730496,26.8970700899,45.75,485.487203027,15.9133980564,,39.44,29.3195891421,25.3197251134,20.86,18.5839928678,17.25,62.2732863766,,36.4339980219,25.88,6.25,16.176726615,9.80444444444,24.955692362,25.0581629982,30.0692214922,25.6223242593,6.75886737474,15.3911111111,6.58602838793,17.12,,13.5290863287,0.957941111187,25.3100003913,15.5265160872,34.1541957859,45.8636569308,25.31,50.0533494966,15.6214282362,31.7402191084,22.44
2000-12-13,55.7402738865,24.992123203,0.986256297008,,9.41973741287,35.1427561549,29.0059886383,42.3818631227,,32.9867952408,41.3681476768,9.00496778005,45.3736666254,7.16685006252,,20.0229635395,5.5905807411,22.4085477842,47.2799946383,7.91352730496,26.1503569249,44.88,476.948483376,15.9133980564,,34.25,29.2374038887,24.1270304029,18.625,17.4362781434,16.75,61.2422414886,,35.0887427103,23.75,6.31,15.9228134377,9.83111111111,24.4796145385,24.6824304536,29.9362935313,25.9744727511,6.58584036994,15.4444444444,6.21211193752,17.0,,13.5731072169,0.987062520967,25.2162982096,15.3142322261,33.7868052819,46.1166865384,25.0,49.1554016758,15.4416235834,32.1691815962,21.69
2000-12-14,56.7556492142,24.2734754266,0.949436061919,,9.67093041054,32.6466097999,28.2808389224,42.3818631227,,28.5613119089,41.7927474331,9.09183242101,46.146294523,7.29041644291,,19.8495650403,5.29294828672,21.7309995506,45.4417366819,8.00181680513,26.7046182433,44.31,471.142154013,15.8903732969,,32.62,27.8676496657,22.9343356925,17.7025,16.4927831209,16.5,58.6783157052,,33.5192781801,22.69,6.0,14.8416347475,9.30666666667,23.9958580404,23.3833551666,27.9607090095,25.4392070436,6.36835503753,15.3066666667,6.16112333064,17.38,,12.9274675223,0.957941111187,25.4089082496,15.8505282963,32.8814501112,45.2514885255,25.75,48.6991862507,15.2150697209,32.1464899562,20.5
2000-12-15,54.4854232457,23.6542151087,0.924450902395,,10.3168552617,31.7512529552,27.5991981894,41.0091711997,,31.1179255905,41.1331013832,9.3162327435,43.6461872696,6.82580685265,,19.7081083699,5.19782863635,21.6370330072,45.901301171,7.66724606763,26.9894469763,43.62,467.189946632,15.9331335645,,33.31,27.3539918321,22.9889629311,16.845,16.1333564457,16.19,54.6910005189,,33.3978315201,22.88,5.69,14.7433457757,8.97333333333,23.896035271,23.6351759145,28.0753020792,24.826468668,5.33259616162,14.84,6.21211193752,17.16,,11.966344795,0.957941111187,25.507816108,15.6866600526,32.5140596072,44.5903466477,25.69,46.9829472705,15.0352650681,32.1237983163,20.17
2000-12-18,54.600371396,24.7016060168,0.936943482157,,10.7923277216,33.616579715,28.6434137804,42.8966225939,,31.6760946593,40.2308269013,9.68540746761,43.5951646726,6.82580685265,,19.6761665411,5.2745380318,21.7309995506,48.1991236165,8.55246447726,27.9517062097,45.81,480.02242245,16.1370671485,,31.0,28.422400126,23.7810578915,16.125,16.2354662966,15.25,58.222101153,,32.6411254073,19.88,5.0,14.7433457757,9.0,24.2799689996,25.7057020643,29.2624862814,25.7490977164,5.15235969829,15.72,6.11013472377,16.94,,11.6508617624,0.957941111187,26.1272916421,16.2006104532,32.3959698023,46.3207426735,26.31,49.6043755862,15.6430047946,32.2637300961,21.88
2000-12-19,54.6578454711,25.611383521,0.920505877207,,11.1152901472,34.125305195,27.2801323144,43.1540023294,,31.895375365,41.8458224026,9.85913674954,43.4129411118,6.57867409187,,20.0229635395,5.36505511845,22.1019201164,48.7138358442,8.13192764749,27.8323860647,47.38,458.65122698,16.1568026567,,28.0,28.9771505863,22.7067221981,16.765,15.9291367438,15.38,59.5907448096,,31.4733690604,18.25,5.69,13.0560517591,8.47111111111,24.0419300878,25.6297561244,30.8255357523,26.6787697346,4.77626627815,19.7511111111,5.948670802,15.88,,11.4160836916,0.967137345855,26.1585257026,16.3644786969,32.9273739242,44.8433762552,26.19,48.0691744732,15.9127117738,32.5965408156,21.19
2000-12-20,50.2898157594,24.0364745642,0.945491036731,,10.7519574184,33.1078542351,26.8305394905,42.8966225939,,28.5314099945,38.5248457379,9.68540746761,42.9610266812,5.94601422428,,20.6481107603,5.36505511845,23.1207152706,48.428905861,8.19001284497,27.5937457749,45.19,455.284531804,16.0975961323,,23.94,28.0388689436,22.4153769253,15.0,15.4430938534,14.56,58.0487396231,,32.697177712,16.69,5.62,12.7448033483,8.83111111111,24.0419300878,24.7303963103,29.6979399463,26.1435040271,4.07815037686,20.8888888889,5.52376574472,15.0,,9.5378591254,1.07289404453,25.7993340064,16.5283469405,32.4353330706,41.9865903635,26.12,47.0698454467,15.3732978154,31.9573929565,22.44
2000-12-21,49.2169663566,24.2734754266,0.924450902395,,10.8349408194,32.6466097999,29.3685634963,46.1138692884,,29.8072250091,35.9696650621,10.0907757921,43.0047603357,5.96084218993,,20.8762666803,5.94497814812,22.9377277914,46.4160133988,8.14586809489,27.181898823,46.31,472.703519892,16.0548358646,,21.19,28.2922734749,22.9343356925,14.28,14.4505861025,13.69,58.1126096604,,31.5294213651,15.19,5.62,13.4655891418,8.52888888889,24.7176534503,25.0061999867,29.5650119854,27.1576916833,4.01807155576,21.1111111111,5.52376574472,15.0,,10.18349882,1.06369780986,25.5390501685,16.6884909059,33.3800515096,42.9007618488,26.75,46.7946678887,16.4737022906,32.1011066763,22.75
2000-12-22,52.3876195025,26.6129032945,0.986256297008,,11.2005163428,32.13788432,29.3250545134,47.1862848532,,32.7376126207,37.3420321313,9.99667243106,43.3692074572,5.95342820711,,20.7895674307,6.00174310076,23.0564223725,48.2542713552,8.45255793759,27.0394844565,48.0,472.361971106,15.604208429,,23.56,28.3402148727,25.0921116191,15.59,15.7739297704,14.31,60.90464272,,32.8092823213,15.56,5.88,14.0225599822,9.64,24.7637254977,25.6297561244,29.748360897,28.0873637015,4.12260870448,21.2222222222,5.52376574472,14.12,,10.7777808117,1.12577239387,24.8571065134,16.8523591496,33.4587780461,43.4149833093,27.25,45.940169156,16.5851811753,31.624582237,23.25
2000-12-26,51.247717012,26.4217735667,0.96587366687,,11.3530263771,32.6873078383,30.4127790873,54.9505735427,,32.8622039307,39.1389989567,10.1342081126,44.6010387279,5.90153032734,,21.3599572307,5.73479440456,23.7389162136,51.296588273,8.82895001727,26.9201643115,49.38,476.021422385,15.7686709967,,23.81,28.7237460551,24.0177759256,15.655,15.5206973401,14.12,61.8170718244,,33.3417792154,16.94,5.81,13.768646805,9.83111111111,25.0478364569,27.7562424404,32.9798854628,28.791660685,4.0853598354,22.1111111111,5.36230182295,14.06,,10.9612011795,1.14493121609,25.1173903513,17.2955482631,34.567510103,43.4639567818,27.25,45.6215425099,16.6535069434,32.312895316,23.19
